Nome;Tipo;Peso;Volume;Quantidade;Setor;Localizacao
File Mignon;CARNES;0.5;0.3499999940395355224609375;50;Acougue;1-andar
Sassami;CARNES;0.3499999940395355224609375;0.0500000007450580596923828125;100;Acougue;2-andar
Coxinha de frango;CARNES;1.5;2;150;Acougue;2-andar
Meio da asa;CARNES;1.89999997615814208984375;1.5;100;Acougue;3-andar
Alcatra;CARNES;0.5;0.5;13;Acougue;3-Andar
Salmao;PEIXES;0.100000001490116119384765625;0.1500000059604644775390625;20;Peixaria;3-andar
Tilapia;PEIXES;0.60000002384185791015625;0.300000011920928955078125;50;Peixaria;2-andar
Cacao;PEIXES;0.1500000059604644775390625;0.20000000298023223876953125;25;Peixaria;2-andar
Coca-Cola;BEBIDAS;0.119999997317790985107421875;0.20000000298023223876953125;200;Consumiveis;1-andar
Pepsi;BEBIDAS;2;2;250;Consumiveis;1-andar
Jack Daniels;BEBIDAS;0.5;0.4000000059604644775390625;100;Consumiveis;2-andar
Pringles;SALGADINHOS;0.20000000298023223876953125;0.4000000059604644775390625;5;Gulouseimas;3-andar
Ruffles;SALGADINHOS;0.23999999463558197021484375;0.300000011920928955078125;2;Gulouseimas;2-andar
Doritos;SALGADINHOS;0.300000011920928955078125;0.25;9;Gulouseimas;1-andar
Detergente;LIMPEZA;0.300000011920928955078125;0.25;20;Casa;1-andar
